Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
token,blue_goals,blue_no_goals,orange_goals,orange_no_goals,total_occurrences,blue_goal_prob,orange_goal_prob
B_1_4_P_BLUE_0_2_1_4_3_-1_P_ORANGE_0_4_1_4_2_4,3,1,0,4,4,0.75,0.0
B_1_4_P_BLUE_-4_0_1_1_2_4_P_ORANGE_0_4_0_4_1_4,3,1,0,4,4,0.75,0.0
B_-4_2_P_BLUE_-4_2_-4_3_-3_0_P_ORANGE_-4_2_-3_4_-1_3,3,1,0,4,4,0.75,0.0
B_0_4_P_BLUE_-1_5_0_4_1_4_P_ORANGE_-1_4_0_4_1_4,3,1,0,4,4,0.75,0.0
B_3_2_P_BLUE_0_-1_3_1_3_2_P_ORANGE_0_3_2_3_3_2,3,1,0,4,4,0.75,0.0
B_0_4_P_BLUE_-1_1_0_3_0_4_P_ORANGE_-1_1_0_4_0_5,3,1,0,4,4,0.75,0.0
B_-2_4_P_BLUE_-3_1_-2_3_-2_4_P_ORANGE_-2_2_-2_4_-1_4,3,1,0,4,4,0.75,0.0
B_-1_4_P_BLUE_-3_0_-2_4_-1_4_P_ORANGE_-4_3_-1_4_0_4,3,1,0,4,4,0.75,0.0
B_-3_4_P_BLUE_-3_3_-3_4_-2_0_P_ORANGE_-4_3_-3_4_-2_4,3,1,0,4,4,0.75,0.0
B_-3_4_P_BLUE_-4_2_-3_4_-1_1_P_ORANGE_-4_3_-2_4_0_4,3,1,0,4,4,0.75,0.0
B_-1_4_P_BLUE_-1_3_0_1_1_4_P_ORANGE_-2_4_0_0_0_3,3,1,0,4,4,0.75,0.0
B_2_3_P_BLUE_0_2_1_-1_2_3_P_ORANGE_1_3_1_4_2_4,3,1,0,4,4,0.75,0.0
B_2_4_P_BLUE_1_0_2_4_3_3_P_ORANGE_0_4_1_4_2_4,3,1,0,4,4,0.75,0.0
B_0_4_P_BLUE_0_0_0_3_1_4_P_ORANGE_-1_4_0_4_1_4,3,1,0,4,4,0.75,0.0
B_0_4_P_BLUE_-2_4_0_2_0_4_P_ORANGE_0_4_0_4_2_4,3,1,0,4,4,0.75,0.0
B_3_2_P_BLUE_0_0_3_1_3_4_P_ORANGE_1_4_2_2_3_3,3,1,0,4,4,0.75,0.0
