Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
token,blue_goals,blue_no_goals,orange_goals,orange_no_goals,total_occurrences,blue_goal_prob_actual,orange_goal_prob_actual,ensemble_prob_blue_avg,ensemble_prob_blue_std,ensemble_prob_blue_min,ensemble_prob_blue_max,ensemble_prob_orange_avg,ensemble_prob_orange_std,ensemble_prob_orange_min,ensemble_prob_orange_max
B_1_4_P_BLUE_0_2_1_4_3_-1_P_ORANGE_0_4_1_4_2_4,3,1,0,4,4,0.75,0.0,0.66737545,0.19030777,0.3709308,0.855451,0.0134246,0.0049092616,0.00669711,0.019134548
B_3_1_P_BLUE_0_2_3_0_3_1_P_ORANGE_-3_4_1_2_1_4,3,1,0,4,4,0.75,0.0,0.579882,0.10566768,0.4008688,0.673704,0.011377708,0.0047288085,0.006283502,0.017986327
B_0_4_P_BLUE_0_0_0_3_1_4_P_ORANGE_-1_4_0_4_1_4,3,1,0,4,4,0.75,0.0,0.51949984,0.12792197,0.42952466,0.7384657,0.042765476,0.037954777,0.010276955,0.106779575
B_-1_4_P_BLUE_-1_1_-1_3_-1_4_P_ORANGE_-3_3_-1_4_-1_5,3,1,0,4,4,0.75,0.0,0.51569694,0.030736428,0.4722994,0.5493205,0.011684818,0.0070070922,0.002511051,0.020292828
B_2_4_P_BLUE_1_0_2_4_3_2_P_ORANGE_-2_4_1_4_2_4,3,1,0,4,4,0.75,0.0,0.5018751,0.080269955,0.3861532,0.6128273,0.018460052,0.008235009,0.004536999,0.024958173
B_0_4_P_BLUE_-2_4_0_2_0_4_P_ORANGE_0_4_0_4_2_4,3,1,0,4,4,0.75,0.0,0.4957584,0.0820264,0.42731997,0.6348185,0.034349903,0.017112996,0.0057332055,0.04914356
B_-2_4_P_BLUE_-3_1_-2_3_-2_4_P_ORANGE_-2_2_-2_4_-1_4,3,1,0,4,4,0.75,0.0,0.4775908,0.02634172,0.45277047,0.52138644,0.0630156,0.08559978,0.0045596194,0.21020606
B_0_4_P_BLUE_-1_5_0_4_1_4_P_ORANGE_-1_4_0_4_1_4,3,1,0,4,4,0.75,0.0,0.4724453,0.24622934,0.0482834,0.6489754,0.060022615,0.03870121,0.02535589,0.12550813
B_-1_4_P_BLUE_-1_3_0_1_1_4_P_ORANGE_-2_4_0_0_0_3,3,1,0,4,4,0.75,0.0,0.4686257,0.027545866,0.42120898,0.48905542,0.034727752,0.042825535,0.007886868,0.10884781
B_0_4_P_BLUE_-1_1_0_3_0_4_P_ORANGE_-1_1_0_4_0_5,3,1,0,4,4,0.75,0.0,0.46359593,0.08276256,0.3216477,0.5278844,0.061466083,0.015244109,0.03912263,0.07662207
B_-3_4_P_BLUE_-3_3_-3_4_-2_0_P_ORANGE_-4_3_-3_4_-2_4,3,1,0,4,4,0.75,0.0,0.4576915,0.046898298,0.40008807,0.5290458,0.01856994,0.019096017,0.004925333,0.051510092
B_2_4_P_BLUE_1_0_2_4_3_3_P_ORANGE_0_4_1_4_2_4,3,1,0,4,4,0.75,0.0,0.43099833,0.12377788,0.21947739,0.53427136,0.014266091,0.001276449,0.013406636,0.016472772
B_3_2_P_BLUE_0_0_3_1_3_4_P_ORANGE_1_4_2_2_3_3,3,1,0,4,4,0.75,0.0,0.42106923,0.10261015,0.24468543,0.49177322,0.05343324,0.017351186,0.037522294,0.08230349
